Company,Product,Price_euros
Lenovo,"Ideapad 520-15IKBR",898.9
Dell,"Vostro 5568",895.01
Asus,"K756UX-T4340T (i5-7200U/8GB/500GB",891
Asus,"F756UX-T4201D (i7-7500U/8GB/128GB",889
HP,"Probook 450",889
Dell,"Inspiron 5770",889
Dell,"Inspiron 5378",889
Dell,"Inspiron 5567",889
Acer,"Swift 3",884
Lenovo,"ThinkPad 13",881
Lenovo,"V330-15IKB (i7-8550U/8GB/256GB/FHD/W10)",880
HP,"ProBook 450",879
Dell,"Vostro 5471",879
Dell,"Inspiron 5577",879
Acer,"Aspire 7",879
Dell,"Inspiron 5570",870
Dell,"Inspiron 5379",869.01
Lenovo,"Legion Y520-15IKBN",869
Lenovo,"Yoga 500-15ISK",867
HP,"ProBook 440",860
Dell,"Vostro 5468",859
Lenovo,"IdeaPad 320-17IKB",859
Lenovo,"Thinkpad E470",859
Lenovo,"Thinkpad E470",857.07
Dell,"Inspiron 5570",855
Acer,"Aspire A517-51G",854
Asus,"Pro P2540UA-XO0192R",849.9
Acer,"Spin 5",847
Lenovo,"Yoga 500-15ISK",847
Acer,"Nitro AN515-51",846
Dell,"Inspiron 5570",844
Acer,"Aspire A515-51G",841
Asus,"FX553VD-DM627T (i5-7300HQ/8GB/1TB",839
HP,"ProBook 450",839
HP,"Pavilion X360",836.6
Lenovo,"Yoga 500-14IBD",833.01
Acer,"Aspire E5-576G",832
Lenovo,"IdeaPad 310-15IKB",831
Lenovo,"Thinkpad E570",830
Lenovo,"Legion Y520-15IKBN",829
Lenovo,"V330-15IKB (i5-8250U/4GB/256GB/FHD/W10)",829
Dell,"Inspiron 5379",819
Lenovo,"IdeaPad 320-15IKB",819
Dell,"Inspiron 5370",818.35
Lenovo,"V310-15ISK (i5-7200U/8GB/1TB",817.95
Lenovo,"V310-15IKB (i5-7200U/8GB/1TB",813
Dell,"Latitude 3580",810
Lenovo,"Legion Y520-15IKBN",809
Acer,"Aspire A517-51G",805
Dell,"Inspiron 5570",800
Dell,"Inspiron 5579",799
Lenovo,"IdeaPad 510s-14IKB",799
Fujitsu,"LifeBook A557",799
Acer,"Aspire F5-573G",799
Dell,"Inspiron 5368",798.01
Dell,"Inspiron 5570",797.41
Dell,"Vostro 5568",795
Toshiba,"Satellite Pro",793
Dell,"Vostro 3568",789.81
Acer,"Aspire R7",789.01
Lenovo,"IdeaPad Y700-15ISK",789
Lenovo,"IdeaPad 510-15IKB",789
Asus,"K556UR-DM621T (i7-7500U/8GB/256GB/GeForce",787
Lenovo,"Legion Y520-15IKBN",779
Dell,"Inspiron 5567",778.87
HP,"ProBook x360",775
Acer,"Swift 3",770
HP,"ProBook 450",769.99
Asus,"Vivobook X541UV-DM1217T",769
Asus,"UX410UA-GV097T (i3-7100U/4GB/256GB/FHD/W10)",769
Dell,"Inspiron 3576",767.8
HP,"250 G6",752
Dell,"Vostro 3568",750
Dell,"Inspiron 3567",749.01
Dell,"Inspiron 5570",749
Dell,"Inspiron 3567",745
Dell,"Latitude 3180",744
Dell,"Latitude E5470",740
Lenovo,"V330-15IKB (i5-8250U/8GB/256GB/FHD/W10)",739
Dell,"Vostro 5568",739
Dell,"Vostro 3568",739
Dell,"Vostro 5468",735.87
Dell,"Inspiron 3576",735.07
Lenovo,"Thinkpad 13",735
Asus,"ZenBook UX305CA-UBM1",729
Dell,"Inspiron 3576",728
HP,"ProBook 430",726
HP,"15-bs017nv (i7-7500U/8GB/256GB/Radeon",719
Lenovo,"IdeaPad 320-17IKB",719
HP,"ProBook 430",719
Dell,"Inspiron 5570",719
Dell,"Vostro 3568",713.99
HP,"ProBook 450",705.5
Acer,"Aspire 5",702
HP,"Pavilion 15-CK000nv",699
HP,"Envy 13-AD007nv",699
HP,"Pavilion X360",699
HP,"17-bs000nv I3",699
Lenovo,"IdeaPad 520s-14IKB",699
Lenovo,"IdeaPad 320-17IKBR",698
Lenovo,"IdeaPad 310-15IKB",695
Acer,"Aspire E5-576G",691
HP,"250 G6",690
Acer,"Aspire R7",689
Dell,"Latitude 3380",689
HP,"ProBook 440",689
Acer,"Aspire A515-51G",682
HP,"250 G5",679
Dell,"Inspiron 3576",677.35
Dell,"Vostro 3568",665
HP,"15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)",659
HP,"Pavilion 14-BK001nv",659
Acer,"Aspire 5",659
Acer,"TravelMate P238-M",655
HP,"15-BW091ND (A9-9420/6GB/1TB",650
HP,"15-cd005nv (A9-9420/6GB/256GB/Radeon",649
Fujitsu,"LifeBook A556",649
HP,"17-BS092ND (i3-6006U/8GB/256GB/W10)",639.9
Dell,"Inspiron 3567",639
Lenovo,"Yoga 500-14ISK",638
Acer,"Swift 3",636
Lenovo,"V330-15IKB (i3-7130U/4GB/128GB/FHD/W10)",630
Lenovo,"IdeaPad 320-15IKBN",629
Lenovo,"Yoga 520-14IKB",629
HP,"15-BS103nv (i5-8250U/6GB/256GB/Radeon",619
Acer,"Swift 3",619
HP,"15-BS026nv (i5-7200U/8GB/256GB/Radeon",618.99
Dell,"Inspiron 3179",603
Lenovo,"IdeaPad 520S-14IKB",599
Lenovo,"IdeaPad 320s-14IKB",599
Acer,"Aspire 3",599
HP,"250 G6",598.99
Dell,"Inspiron 3567",598.9
Lenovo,"IdeaPad 320-15ABR",597.57
Lenovo,"IdeaPad 320-15IKBN",597
Lenovo,"IdeaPad 320-15ISK",589
HP,"15-bs024nv (i5-7200U/8GB/128GB/W10)",589
Asus,"VivoBook Max",586.19
Asus,"Vivobook Max",581.9
Lenovo,"Ideapad 320-15IKBN",579
HP,"15-bs025nv (i5-7200U/8GB/256GB/W10)",579
Asus,"X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce",577
HP,"250 G6",575
Asus,"X555QG-DM242T (A10-9620P/4GB/1TB",575
Lenovo,"V510-15IKB (i5-7200U/8GB/256GB/FHD/No",573
Acer,"Aspire A515-51G-37JS",572
Dell,"Vostro 3568",569
Lenovo,"IdeaPad 310-15ISK",569
HP,"15-bw007nv (A10-9620P/6GB/128GB/Radeon",568.9
Lenovo,"ThinkPad E570",565
Asus,"VivoBook Max",559
Lenovo,"Yoga 11e",553
Lenovo,"IdeaPad 320-15IKBN",549
Lenovo,"Ideapad 510S-13IKB",549
Lenovo,"IdeaPad 320-15ABR",549
Dell,"Vostro 3568",547
HP,"250 G6",539
Asus,"VivoBook S14",509
Lenovo,"IdeaPad 320-15ISK",499
HP,"15-BW004nv (A9-9420/4GB/256GB/Radeon",499
Lenovo,"IdeaPad 320-15ISK",499
Toshiba,"Satellite Pro",499
HP,"15-bs005nv (i3-6006U/4GB/1TB",499
Dell,"Inspiron 5567",499
Dell,"Inspiron 3567",498.9
Lenovo,"V110-15IKB (i5-7200U/4GB/128GB/W10)",498
Toshiba,"Satellite Pro",498
Lenovo,"V110-15ISK (i5-6200U/4GB/128GB/W10)",493
Lenovo,"IdeaPad 110-17ACL",489
HP,"15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10)",488.99
Dell,"Inspiron 3567",485
HP,"15-bw002nv (A6-9220/4GB/256GB/Radeon",478.89
Lenovo,"N23 (N3060/4GB/128GB/W10)",475
Acer,"ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10)",469
Lenovo,"IdeaPad 320-15IKBN",468
Acer,"Aspire 3",451
Acer,"Aspire A315-51",449
HP,"15-BW094nd (A6-9220/8GB/128GB/W10)",445.9
Lenovo,"IdeaPad 320-15ISK",444
HP,"15-bs002nv (i3-6006U/4GB/128GB/FHD/W10)",439
Acer,"TravelMate B",435
Lenovo,"V110-15ISK (i3-6006U/4GB/128GB/W10)",429
Acer,"Aspire 3",426
Asus,"L502NA-GO052T (N3350/4GB/128GB/W10)",419
Asus,"X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux)",415
Acer,"Aspire 3",412
Lenovo,"V310-15ISK (i3-6006U/4GB/128GB/FHD/No",403.5
Lenovo,"IdeaPad 320-15AST",399
Lenovo,"IdeaPad 320-15AST",399
HP,"250 G6",398.99
HP,"255 G6",398.49
Mediacom,"SmartBook Edge",389
Lenovo,"IdeaPad 320-15ISK",369
HP,"255 G6",369
Mediacom,"SmartBook Edge",369
Lenovo,"IdeaPad 320-15IAP",349
Lenovo,"IdeaPad 320-15AST",349
Mediacom,"FlexBook Edge",299
HP,"250 G6",299
Asus,"E402WA-GA007T (E2-6110/4GB/64GB/W10",277.99
Lenovo,"V110-15IAP (N3350/4GB/128GB/No",270.62
Lenovo,"Chromebook N23",265
Mediacom,"SmartBook 141",249
HP,"Stream 14-AX040wm",229
Acer,"Chromebook 15",209
Acer,"Chromebook C910-C2ST",199
Acer,"C740-C9QX (3205U/2GB/32GB/Chrome",174
