Company,Product,TypeName,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model
Dell,"Inspiron 7773","2 in 1 Convertible",17.3,12,"Windows 10",2.77,999,"Full HD",1920,1080,Yes,No,No,Intel,1.6,"Core i5 8250U",1024,0,HDD,No,Nvidia,"GeForce 150MX"
Dell,"Inspiron 3567",Notebook,15.6,4,"Windows 10",2.3,639,"Full HD",1920,1080,No,No,No,Intel,2.5,"Core i5 7200U",256,0,SSD,No,AMD,"Radeon R5 M430"
Dell,"Inspiron 3576",Notebook,15.6,8,"Windows 10",2.13,767.8,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",256,0,SSD,No,AMD,"Radeon 520"
Dell,"Inspiron 5770",Notebook,17.3,16,"Windows 10",2.8,1299,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",256,2048,SSD,HDD,AMD,"Radeon 530"
Dell,"Vostro 5471",Ultrabook,14,8,"Windows 10",1.7,879,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 5370",Ultrabook,13.3,8,"Windows 10",1.4,955,"Full HD",1920,1080,No,Yes,No,Intel,1.8,"Core i7 8550U",256,0,SSD,No,AMD,"Radeon 530"
Dell,"Inspiron 5570",Notebook,15.6,8,"Windows 10",2.2,870,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",256,0,SSD,No,AMD,"Radeon 530"
Dell,"Inspiron 5570",Notebook,15.6,8,"Windows 10",2.02,855,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",128,1024,SSD,HDD,Intel,"UHD Graphics 620"
Dell,"Latitude 5590",Ultrabook,15.6,8,"Windows 10",1.88,1096.16,"Full HD",1920,1080,No,Yes,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 7577",Gaming,15.6,16,"Windows 10",2.65,1349,"Full HD",1920,1080,No,Yes,No,Intel,2.8,"Core i7 7700HQ",128,1024,SSD,HDD,Nvidia,"GeForce GTX 1050 Ti"
Dell,"XPS 13",Ultrabook,13.3,8,"Windows 10",1.21,1649,"Full HD",1920,1080,No,Yes,No,Intel,1.8,"Core i7 8550U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 7577",Gaming,15.6,8,"Windows 10",2.65,1195,"Full HD",1920,1080,No,No,No,Intel,2.5,"Core i5 7300HQ",256,0,SSD,No,Nvidia,"GeForce GTX 1060"
Dell,"Inspiron 3567",Notebook,15.6,8,Linux,2.2,599.9,"Full HD",1920,1080,No,No,No,Intel,2.7,"Core i7 7500U",1024,0,HDD,No,AMD,"Radeon R5 M430"
Dell,"Inspiron 3567",Notebook,15.6,4,Linux,2.2,485,"Full HD",1920,1080,No,No,No,Intel,2,"Core i3 6006U",256,0,SSD,No,AMD,"Radeon R5 M430"
Dell,"Inspiron 3576",Notebook,15.6,8,Linux,2.2,647,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",1024,0,HDD,No,AMD,"Radeon 520"
Dell,"XPS 13",Ultrabook,13.3,8,"Windows 10",1.23,1379,"Quad HD+",3200,1800,Yes,No,No,Intel,2.4,"Core i7 7560U",256,0,SSD,No,Intel,"Iris Plus Graphics 640"
Dell,"XPS 13",Ultrabook,13.3,8,"Windows 10",1.21,1629,"Full HD",1920,1080,No,Yes,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 7570",Notebook,15.6,8,"Windows 10",2.16,1130.33,"Full HD",1920,1080,No,Yes,No,Intel,1.8,"Core i7 8550U",256,1024,SSD,HDD,Nvidia,"GeForce 940MX"
Dell,"Inspiron 5770",Notebook,17.3,16,"Windows 10",2.8,1396,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",256,2048,SSD,HDD,AMD,"Radeon 530"
Dell,"Inspiron 5567",Notebook,15.6,8,"Windows 10",2.36,638.99,Standard,1366,768,No,No,No,Intel,2.5,"Core i5 7200U",1024,0,HDD,No,AMD,"Radeon R7 M445"
Dell,"Inspiron 3567",Notebook,15.6,4,"Windows 10",2.2,449,"Full HD",1920,1080,No,No,No,Intel,2,"Core i3 6006U",1024,0,HDD,No,AMD,"Radeon R5 M430"
Dell,"Inspiron 5577",Gaming,15.6,16,"Windows 10",2.56,1249.26,"Full HD",1920,1080,No,No,No,Intel,2.8,"Core i7 7700HQ",512,0,SSD,No,Nvidia,"GeForce GTX 1050"
Dell,"Inspiron 7567",Gaming,15.6,8,"Windows 10",2.62,899,"Full HD",1920,1080,No,No,No,Intel,2.8,"Core i7 7700HQ",1024,0,Hybrid,No,Nvidia,"GeForce GTX 1050"
Dell,"Inspiron 5579","2 in 1 Convertible",15.6,8,"Windows 10",1.56,1049,"Full HD",1920,1080,Yes,No,No,Intel,1.8,"Core i7 8550U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 3576",Notebook,15.6,8,"Windows 10",2.13,728,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,AMD,"Radeon 520"
Dell,"Inspiron 5577",Gaming,15.6,8,"Windows 10",2.56,1060.49,"Full HD",1920,1080,No,No,No,Intel,2.8,"Core i7 7700HQ",128,1024,SSD,HDD,Nvidia,"GeForce GTX 1050"
Dell,"Inspiron 3567",Notebook,15.6,8,"Windows 10",2.3,459,Standard,1366,768,No,No,No,Intel,2.4,"Core i3 7100U",1024,0,HDD,No,Intel,"HD Graphics 620"
Dell,"Inspiron 5570",Notebook,15.6,16,Linux,2.02,1049,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",256,2048,SSD,HDD,AMD,"Radeon 530"
Dell,"XPS 13",Ultrabook,13.3,8,"Windows 10",1.23,1399,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 7773",Notebook,17.3,16,"Windows 10",2.77,1549,"Full HD",1920,1080,Yes,No,No,Intel,1.8,"Core i7 8550U",512,0,SSD,No,Nvidia,"GeForce 150MX"
Dell,"XPS 15",Notebook,15.6,16,"Windows 10",2.06,2397,"4K Ultra HD",3840,2160,Yes,No,No,Intel,2.8,"Core i7 7700HQ",512,0,SSD,No,Nvidia,"GeForce GTX 1050"
Dell,"Inspiron 5770",Notebook,17.3,8,"Windows 10",2.8,1085,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",128,1024,SSD,HDD,AMD,"Radeon 530"
Dell,"Inspiron 5379","2 in 1 Convertible",13.3,8,"Windows 10",1.62,839,"Full HD",1920,1080,Yes,Yes,No,Intel,1.8,"Core i7 8550U",1024,0,HDD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 7577",Gaming,15.6,16,"Windows 10",2.65,1845,"4K Ultra HD",3840,2160,No,Yes,No,Intel,2.8,"Core i7 7700HQ",512,1024,SSD,HDD,Nvidia,"GeForce GTX 1060"
Dell,"Precision 7520",Workstation,15.6,16,"Windows 10",2.8,3055,"4K Ultra HD",3840,2160,No,No,No,Intel,3,"Xeon E3-1505M V6",256,1024,SSD,HDD,Nvidia,"Quadro M1200"
Dell,"Inspiron 3567",Notebook,15.6,6,"Windows 10",2.3,439,Standard,1366,768,Yes,No,No,Intel,2.4,"Core i3 7100U",1024,0,HDD,No,Intel,"HD Graphics 620"
Dell,"XPS 13",Ultrabook,13.3,8,"Windows 10",1.21,1949,"4K Ultra HD",3840,2160,Yes,Yes,No,Intel,1.8,"Core i7 8550U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"XPS 13",Ultrabook,13.3,8,"Windows 10",1.2,1449,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 5370",Ultrabook,13.3,8,"Windows 10",1.4,931.88,"Full HD",1920,1080,No,Yes,No,Intel,1.8,"Core i7 8550U",256,0,SSD,No,AMD,"Radeon 530"
Dell,"Latitude 5490",Ultrabook,14,8,"Windows 10",1.6,1149,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 5379","2 in 1 Convertible",13.3,16,"Windows 10",1.62,1279,"Full HD",1920,1080,Yes,No,No,Intel,1.8,"Core i7 8550U",512,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 3576",Notebook,15.6,8,Linux,2.2,677.35,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,AMD,"Radeon 520"
Dell,"Alienware 17",Gaming,17.3,16,"Windows 10",4.42,2456.34,"Full HD",1920,1080,No,Yes,No,Intel,2.8,"Core i7 7700HQ",256,1024,SSD,HDD,Nvidia,"GeForce GTX 1060"
Dell,"Inspiron 5567",Notebook,15.6,16,"Windows 10",2.3,859.01,"Full HD",1920,1080,Yes,No,No,Intel,2.7,"Core i7 7500U",1024,0,HDD,No,AMD,"Radeon R7 M445"
Dell,"Vostro 5468",Notebook,14,8,"Windows 10",1.6,859,"Full HD",1920,1080,No,No,No,Intel,2.5,"Core i5 7200U",256,0,SSD,No,Intel,"HD Graphics 620"
Dell,"Inspiron 5567",Notebook,15.6,16,Linux,2.36,899,"Full HD",1920,1080,No,No,No,Intel,2.7,"Core i7 7500U",256,0,SSD,No,AMD,"Radeon R7 M445"
Dell,"Inspiron 5577",Gaming,15.6,8,"Windows 10",2.56,879,"Full HD",1920,1080,No,No,No,Intel,2.5,"Core i5 7300HQ",256,0,SSD,No,Nvidia,"GeForce GTX 1050"
Dell,"Inspiron 5570",Notebook,15.6,8,"Windows 10",2.2,985,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",128,2048,SSD,HDD,AMD,"Radeon 530"
Dell,"Inspiron 5579","2 in 1 Convertible",15.6,8,"Windows 10",2.08,819,"Full HD",1920,1080,Yes,Yes,No,Intel,1.8,"Core i7 8550U",1024,0,HDD,No,Intel,"UHD Graphics 620"
Dell,"Vostro 5370",Ultrabook,13.3,8,"Windows 10",1.41,949,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 5770",Notebook,17.3,8,"Windows 10",2.8,1142,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",128,1024,SSD,HDD,AMD,"Radeon 530"
Dell,"Vostro 3568",Notebook,15.6,4,"Windows 10",2.18,657,"Full HD",1920,1080,No,No,No,Intel,2.5,"Core i5 7200U",1024,0,HDD,No,Intel,"HD Graphics 620"
Dell,"Inspiron 3567",Notebook,15.6,8,"Windows 10",2.24,565,"Full HD",1920,1080,No,No,No,Intel,2.5,"Core i5 7200U",1024,0,HDD,No,AMD,"Radeon R5 M430"
Dell,"Inspiron 5579","2 in 1 Convertible",15.6,8,"Windows 10",2.67,799,"Full HD",1920,1080,Yes,No,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 3576",Notebook,15.6,8,Linux,2.14,735.07,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",256,0,SSD,No,AMD,"Radeon 520"
Dell,"Inspiron 5567",Notebook,15.6,12,"Windows 10",2.3,713.07,Standard,1366,768,No,No,No,Intel,2.7,"Core i7 7500U",1024,0,HDD,No,Intel,"HD Graphics 620"
Dell,"Inspiron 5770",Notebook,17.3,8,Linux,2.8,1099,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",128,1024,SSD,HDD,AMD,"Radeon 530"
Dell,"Inspiron 3567",Notebook,15.6,4,Linux,2.25,428,"Full HD",1920,1080,No,No,No,Intel,2,"Core i3 6006U",1024,0,HDD,No,AMD,"Radeon R5 M430"
Dell,"XPS 15",Notebook,15.6,8,"Windows 10",2,1829,"Full HD",1920,1080,No,No,No,Intel,2.8,"Core i7 7700HQ",256,0,SSD,No,Nvidia,"GeForce GTX 1050"
Dell,"Precision 7720",Workstation,17.3,16,"Windows 10",3.42,2884.86,"Full HD",1920,1080,No,No,No,Intel,2.9,"Core i7 7820HQ",256,0,SSD,No,Nvidia,"Quadro M1200"
Dell,"XPS 13",Ultrabook,13.3,16,"Windows 10",1.21,2499,"4K Ultra HD",3840,2160,Yes,Yes,No,Intel,1.8,"Core i7 8550U",1024,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 5570",Notebook,15.6,8,"Windows 10",2.33,844,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",128,1024,SSD,HDD,AMD,"Radeon 530"
Dell,"XPS 15",Notebook,15.6,32,"Windows 10",2.06,2639,"4K Ultra HD",3840,2160,Yes,No,No,Intel,2.8,"Core i7 7700HQ",1024,0,SSD,No,Nvidia,"GeForce GTX 1050"
Dell,"Inspiron 7570",Ultrabook,15.6,8,"Windows 10",1.9,1049,"Full HD",1920,1080,No,Yes,No,Intel,1.6,"Core i5 8250U",128,1024,SSD,HDD,Nvidia,"GeForce 940MX"
Dell,"Inspiron 7570",Notebook,15.6,8,"Windows 10",2,1142.75,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,Nvidia,"GeForce 940MX"
Dell,"Inspiron 3552",Notebook,15.6,4,Linux,2.2,274.9,Standard,1366,768,No,No,No,Intel,1.6,"Celeron Dual Core N3060",500,0,HDD,No,Intel,"HD Graphics"
Dell,"XPS 13",Ultrabook,13.3,8,"Windows 10",1.2,1579,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Latitude 5590",Ultrabook,15.6,16,"Windows 10",1.88,1607.96,"Full HD",1920,1080,No,No,No,Intel,1.9,"Core i7 8650U",512,256,SSD,SSD,Intel,"UHD Graphics 620"
Dell,"Inspiron 5570",Ultrabook,15.6,8,"Windows 10",1.9,663,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",1024,0,HDD,No,AMD,"Radeon 530"
Dell,"XPS 15",Notebook,15.6,16,"Windows 10",2.06,2027.42,"4K Ultra HD",3840,2160,Yes,No,No,Intel,2.8,"Core i7 7700HQ",512,0,SSD,No,Nvidia,"GeForce GTX 1050"
Dell,"Inspiron 5570",Notebook,15.6,8,"Windows 10",2.02,970.9,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",128,2048,SSD,HDD,AMD,"Radeon 530"
Dell,"Inspiron 7577",Gaming,15.6,8,"Windows 10",2.65,999,"Full HD",1920,1080,No,No,No,Intel,2.5,"Core i5 7300HQ",1024,0,HDD,No,Nvidia,"GeForce GTX 1050"
Dell,"Inspiron 3567",Notebook,15.6,8,"Windows 10",2.36,557.37,Standard,1366,768,Yes,No,No,Intel,2.5,"Core i5 7200U",2048,0,HDD,No,Intel,"HD Graphics 620"
Dell,"Latitude 7480",Notebook,14,8,"Windows 10",1.36,1427,"Full HD",1920,1080,No,No,No,Intel,2.6,"Core i5 7300U",256,0,SSD,No,Intel,"HD Graphics 620"
Dell,"Inspiron 5770",Notebook,17.3,8,"Windows 10",2.8,1085,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",128,1024,SSD,HDD,AMD,"Radeon 530"
Dell,"Inspiron 5567",Notebook,15.6,8,"Windows 10",2.33,899,"Full HD",1920,1080,No,No,No,Intel,2.7,"Core i7 7500U",256,0,SSD,No,AMD,"Radeon R7 M445"
Dell,"Inspiron 5379","2 in 1 Convertible",13.3,8,"Windows 10",1.62,869.01,"Full HD",1920,1080,Yes,No,No,Intel,1.8,"Core i7 8550U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 3552",Notebook,15.6,4,"Windows 10",1.8,309,Standard,1366,768,No,No,No,Intel,1.6,"Celeron Dual Core N3060",500,0,HDD,No,Intel,"HD Graphics 400"
Dell,"Precision 3510",Workstation,15.6,8,"Windows 10",2.23,1369,"Full HD",1920,1080,No,No,No,Intel,2.6,"Core i5 6440HQ",500,0,HDD,No,AMD,"FirePro W5130M"
Dell,"Precision 5520",Workstation,15.6,8,"Windows 10",2,2135,"Full HD",1920,1080,No,Yes,No,Intel,2.7,"Core i7 6820HQ",256,0,SSD,No,Nvidia,"Quadro M1200"
Dell,"Inspiron 5567",Notebook,15.6,8,Linux,2.33,778.87,"Full HD",1920,1080,No,No,No,Intel,2.7,"Core i7 7500U",256,0,SSD,No,AMD,"Radeon R7 M445"
Dell,"Precision M5520",Workstation,15.6,8,"Windows 10",1.78,2712,"4K Ultra HD",3840,2160,Yes,No,No,Intel,2.8,"Core i7 7700HQ",256,0,SSD,No,Nvidia,"Quadro M1200"
Dell,"Latitude 7480",Ultrabook,14,8,"Windows 10",1.36,1680,"Full HD",1920,1080,No,No,No,Intel,2.8,"Core i7 7600U",512,0,SSD,No,Intel,"HD Graphics"
Dell,"Inspiron 3567",Notebook,15.6,4,Linux,2.3,598.9,"Full HD",1920,1080,No,No,No,Intel,2.5,"Core i5 7200U",256,0,SSD,No,AMD,"Radeon R5 M430"
Dell,"Latitude 3380",Notebook,13.3,4,"Windows 10",1.65,689,Standard,1366,768,No,No,No,Intel,2,"Core i3 6006U",128,0,SSD,No,Intel,"HD Graphics 520"
Dell,"Inspiron 3567",Notebook,15.6,8,"Windows 10",2.14,539.95,Standard,1366,768,No,No,No,Intel,2.5,"Core i5 7200U",1024,0,HDD,No,Intel,"HD Graphics 620"
Dell,"Alienware 17",Gaming,17.3,16,"Windows 10",4.42,2799,Standard,2560,1440,No,Yes,No,Intel,2.9,"Core i7 7820HK",256,1024,SSD,HDD,Nvidia,"GeForce GTX 1070"
Dell,"Inspiron 7577",Gaming,15.6,8,"Windows 10",2.62,1159,"Full HD",1920,1080,No,Yes,No,Intel,2.8,"Core i7 7700HQ",128,1024,SSD,HDD,Nvidia,"GeForce GTX 1050 Ti"
Dell,"Inspiron 5570",Notebook,15.6,8,"Windows 10",2.02,1142.4,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",256,2048,SSD,HDD,AMD,"Radeon 530"
Dell,"Latitude 5480",Ultrabook,14,8,Linux,1.6,1099,"Full HD",1920,1080,No,No,No,Intel,2.8,"Core i7 7600U",256,0,SSD,No,Intel,"HD Graphics 620"
Dell,"Inspiron 5570",Notebook,15.6,4,"Windows 10",2.2,749,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,AMD,"Radeon 530"
Dell,"Latitude 5480",Notebook,14,8,"Windows 10",1.64,1179,"Full HD",1920,1080,No,No,No,Intel,2.8,"Core i5 7440HQ",256,0,SSD,No,Nvidia,"GeForce 930MX"
Dell,"Precision 3520",Workstation,15.6,8,"Windows 10",2.23,1993,"Full HD",1920,1080,No,No,No,Intel,3,"Xeon E3-1505M V6",64,1024,"Flash Storage",HDD,Nvidia,"Quadro M620"
Dell,"Precision 3520",Workstation,15.6,16,"Windows 10",2.17,1975,"Full HD",1920,1080,No,Yes,No,Intel,2.7,"Core i7 6820HQ",256,0,SSD,No,Nvidia,"Quadro M620"
Dell,"Inspiron 5570",Notebook,15.6,8,"Windows 10",2.36,979,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",128,1024,SSD,HDD,AMD,"Radeon 530"
Dell,"Inspiron 3168","2 in 1 Convertible",11.6,4,"Windows 10",1.47,479,Standard,1366,768,Yes,No,No,Intel,1.6,"Pentium Quad Core N3710",500,0,HDD,No,Intel,"HD Graphics 405"
Dell,"Alienware 17",Notebook,17.3,8,"Windows 10",4.42,2046,"Full HD",1920,1080,No,Yes,No,Intel,2.7,"Core i7 7700HQ",1024,0,HDD,No,Nvidia,"GeForce GTX 1060"
Dell,"Inspiron 5570",Notebook,15.6,8,"Windows 10",2.02,759,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",2048,0,HDD,No,AMD,"Radeon 530"
Dell,"Latitude 7390",Ultrabook,13.3,8,"Windows 10",1.42,1841.85,"Full HD",1920,1080,Yes,No,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Latitude E5470",Notebook,14,8,"Windows 10",1.79,740,Standard,1366,768,No,No,No,Intel,2.3,"Core i3 6100U",128,0,SSD,No,Intel,"HD Graphics 520"
Dell,"Precision M5520",Workstation,15.6,8,"Windows 10",1.78,2408,"Full HD",1920,1080,No,No,No,Intel,2.8,"Core i7 7700HQ",256,0,SSD,No,Nvidia,"Quadro M1200"
Dell,"Inspiron 3576",Notebook,15.6,8,"Windows 10",2.2,675,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",1024,0,HDD,No,AMD,"Radeon 520"
Dell,"Inspiron 7570",Notebook,15.6,8,"Windows 10",2.16,1262,"Full HD",1920,1080,No,Yes,No,Intel,1.8,"Core i7 8550U",512,0,SSD,No,Nvidia,"GeForce 940MX"
Dell,"Vostro 3568",Notebook,15.6,4,"Windows 10",2.18,586.6,Standard,1366,768,No,No,No,Intel,2.4,"Core i3 7100U",1024,0,HDD,No,Intel,"HD Graphics 620"
Dell,"Precision 3520",Workstation,15.6,16,"Windows 10",2.17,2338,"Full HD",1920,1080,No,Yes,No,Intel,2.7,"Core i7 6820HQ",512,0,SSD,No,Nvidia,"Quadro M620"
Dell,"XPS 15",Notebook,15.6,16,"Windows 10",2.06,1899,"Full HD",1920,1080,No,No,No,Intel,2.8,"Core i7 7700HQ",512,0,SSD,No,Nvidia,"GeForce GTX 1050"
Dell,"XPS 13",Ultrabook,13.3,8,"Windows 10",1.29,899,"Full HD",1920,1080,Yes,Yes,No,Intel,2.5,"Core i5 7200U",128,0,SSD,No,Intel,"HD Graphics 620"
Dell,"Vostro 5568",Notebook,15.6,8,"Windows 10",2.18,836,"Full HD",1920,1080,No,No,No,Intel,2.5,"Core i5 7200U",1024,0,HDD,No,Intel,"HD Graphics 620"
Dell,"Inspiron 5570",Notebook,15.6,16,"Windows 10",2.2,1219.24,"Full HD",1920,1080,No,No,No,Intel,1.8,"Core i7 8550U",256,2048,SSD,HDD,AMD,"Radeon 530"
Dell,"Latitude 5480",Notebook,14,8,"Windows 10",1.64,1279.73,"Full HD",1920,1080,No,No,No,Intel,2.6,"Core i5 7300U",256,0,SSD,No,Intel,"HD Graphics 620"
Dell,"Inspiron 5770",Notebook,17.3,8,Linux,2.8,889,"Full HD",1920,1080,No,Yes,No,Intel,1.6,"Core i5 8250U",128,1024,SSD,HDD,AMD,"Radeon 530"
Dell,"Inspiron 3567",Notebook,15.6,4,"Windows 10",2.3,585,"Full HD",1920,1080,No,No,No,Intel,2.5,"Core i5 7200U",500,0,HDD,No,AMD,"Radeon R5 M430"
Dell,"Latitude 5580",Notebook,15.6,8,"Windows 10",1.9,1377,"Full HD",1920,1080,No,No,No,Intel,2.8,"Core i5 7440HQ",256,0,SSD,No,Intel,"HD Graphics 620"
Dell,"Alienware 17",Gaming,17.3,16,"Windows 10",4.42,3012.77,"Full HD",1920,1080,No,Yes,No,Intel,2.8,"Core i7 7700HQ",128,1024,SSD,HDD,Nvidia,"GeForce GTX 1070"
Dell,"Latitude 5580",Notebook,15.6,8,"Windows 10",1.93,1369,"Full HD",1920,1080,No,No,No,Intel,2.8,"Core i7 7600U",256,0,SSD,No,Nvidia,"GeForce 930MX"
Dell,"Inspiron 5570",Notebook,15.6,8,"Windows 10",2.2,797.41,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,AMD,"Radeon 530"
Dell,"XPS 13",Ultrabook,13.3,8,"Windows 10",1.2,1399,"Quad HD+",3200,1800,Yes,No,No,Intel,1.8,"Core i7 8550U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Vostro 5468",Notebook,14,4,"Windows 10",1.6,735.87,"Full HD",1920,1080,No,No,No,Intel,2,"Core i3 6006U",128,0,SSD,No,Intel,"HD Graphics 520"
Dell,"Latitude 5580",Notebook,15.6,8,"Windows 10",1.9,1116.99,"Full HD",1920,1080,No,No,No,Intel,2.5,"Core i5 7200U",256,0,SSD,No,Intel,"HD Graphics 620"
Dell,"Alienware 17",Gaming,17.3,16,"Windows 10",4.42,2699,"Full HD",1920,1080,No,Yes,No,Intel,2.8,"Core i7 7700HQ",256,1024,SSD,HDD,Nvidia,"GeForce GTX 1070"
Dell,"Vostro 3568",Notebook,15.6,4,"Windows 10",2.18,617.9,Standard,1366,768,No,No,No,Intel,2,"Core i3 6006U",1024,0,HDD,No,AMD,"Radeon R5 M420"
Dell,"XPS 13",Ultrabook,13.3,8,"Windows 10",1.21,1599,"4K Ultra HD",3840,2160,Yes,Yes,No,Intel,1.6,"Core i5 8250U",128,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Latitude 5580",Notebook,15.6,4,"Windows 10",1.93,959,Standard,1366,768,No,No,No,Intel,2.6,"Core i5 7300U",500,0,HDD,No,Intel,"HD Graphics 620"
Dell,"Inspiron 3567",Notebook,15.6,8,Linux,2.2,749.01,"Full HD",1920,1080,No,No,No,Intel,2.7,"Core i7 7500U",256,0,SSD,No,AMD,"Radeon R5 M430"
