Company,Product,Price_euros,Laptop_Rank
Apple,"MacBook Air",998,19
Apple,"MacBook Air",959,20
Apple,"Macbook Air",898.94,21
Asus,"ROG G701VO",3975,1
Asus,"ROG G703VI-E5062T",3890,2
Asus,"Rog G701VIK-BA060T",2999,3
Asus,"ROG Zephyrus",2968,4
Asus,"ROG G701VI",2799,5
Asus,"Rog Strix",2449,6
Asus,"Rog GL702VS-BA023T",2419,7
Asus,"Rog G752VS-BA171T",2350,8
Asus,"Rog GL502VS",2325,9
Asus,"G752VY-GC162T (i7-6700HQ/16GB/1TB",2299,10
Asus,"Rog Strix",2199,11
Asus,"Rog G752VY-GC229T",2150,12
Asus,"Rog GL702VS-GC095T",2122,13
Asus,"Rog Strix",2049.9,14
Asus,"ZenBook Pro",1983,15
Asus,"Zenbook UX390UA",1950,16
Asus,"ROG Strix",1949,17
Asus,"Rog G752VT-GC073T",1900,18
Asus,"ZenBook 3",1900,18
Asus,"Rog GL502VM-DS74",1899,20
Asus,"Zenbook 3",1873,21
Asus,"Rog GL553VE-DS74",1799,22
Asus,"Rog GL702VM-GC017T",1799,22
Asus,"Q534UX-BHI7T19 (i7-7500U/16GB/2TB",1799,22
Asus,"ROG G752VSK-GC493T",1799,22
Asus,"ROG Strix",1770,26
Asus,"Rog GL753VE-DS74",1749,27
Asus,"FX502VM-AS73 (i7-7700HQ/16GB/1TB",1749,27
Asus,"Zenbook Flip",1748.9,29
Asus,"Rog Strix",1695,30
Asus,"ROG Strix",1655,31
Asus,"ROG Strix",1649,32
Asus,"Rog GL553VE-FY052T",1600,33
Asus,"Rog GL702VM-GC354T",1599,34
Asus,"Rog GL753VE-GC070T",1591,35
Asus,"Rog Strix",1549,36
Asus,"FX753VD-GC461T (i7-7700HQ/16GB/1TB",1529,37
Asus,"FX753VE-GC155T (i7-7700HQ/16GB/1TB",1504,38
Asus,"ZenBook Flip",1499,39
Asus,"ZenBook UX430UN",1495,40
Asus,"ZenBook UX530UQ-PRO",1468,41
Asus,"FX503VM-E4007T (i7-7700HQ/16GB/1TB",1449,42
Asus,"ROG GL703VD-GC028T",1407,43
Asus,"Rog GL753VD-GC082T",1369.9,44
Asus,"ZenBook Flip",1358,45
Asus,"VivoBook Pro",1350,46
Asus,"Rog GL552VW-CN470T",1339,47
Asus,"FX502VM-DM560T (i7-7700HQ/8GB/1TB",1339,47
Asus,"UX510UX-CN269T (i7-7500U/8GB/256GB",1334,49
Asus,"ZenBook Flip",1315,50
Asus,"Rog GL752VW-T4308T",1312.49,51
Asus,"ZenBook Pro",1299,52
Asus,"Rog Strix",1299,52
Asus,"Zenbook UX510UW-FI095T",1299,52
Asus,"ZenBook UX310UA-WB71",1280,55
Asus,"G701VO-IH74K (i7-6820HK/32GB/2x",1279,56
Asus,"Rog G752VL-UH71T",1269,57
Asus,"GL553VE-FY082T (i7-7700HQ/8GB/1TB",1265,58
Asus,"VivoBook S15",1262,59
Asus,"ZenBook UX510UX-CN211T",1224,60
Asus,"UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce",1193,61
Asus,"FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce",1187,62
Asus,"ROG GL553VE-FY022",1169,63
Asus,"FX502VM-DM105T (i7-6700HQ/8GB/1TB/GeForce",1169,63
Asus,"FX753VD-GC007T (i7-7700HQ/8GB/1TB",1168,65
Asus,"Chromebook Flip",1159,66
Asus,"ZenBook UX310UA-FB485T",1150,67
Asus,"VivoBook Pro",1145,68
Asus,"Zenbook 3",1135,69
Asus,"Zenbook UX330UA-AH5Q",1129,70
Asus,"VivoBook S15",1118,71
Asus,"ZenBook Flip",1099,72
Asus,"ZenBook UX430UA",1099,72
Asus,"Pro P2540UA-XS51",1099,72
Asus,"ZenBook UX410UA-GV183T",1094,75
Asus,"VivoBook S15",1049.9,76
Asus,"Zenbook UX430UA",1049,77
Asus,"Rog GL753VD-GC042T",1039,78
Asus,"ZenBook UX310UQ-GL026T",1026,79
Asus,"FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce",999,80
Asus,"Rog G752VL-GC088D",998,81
Asus,"VivoBook S15",977,82
Asus,"FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce",949,83
Asus,"FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce",949,83
Asus,"Zenbook UX410UA-GV027T",945,85
Asus,"UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)",941,86
Asus,"FX753VD-GC086T (i5-7300HQ/8GB/1TB",938,87
Asus,"ZenBook Flip",928,88
Asus,"Rog GL552VW-DM201T",909,89
Asus,"VivoBook Pro",906.62,90
Asus,"K756UX-T4340T (i5-7200U/8GB/500GB",891,91
Asus,"F756UX-T4201D (i7-7500U/8GB/128GB",889,92
Asus,"Pro P2540UA-XO0192R",849.9,93
Asus,"FX553VD-DM627T (i5-7300HQ/8GB/1TB",839,94
Asus,"Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce",839,94
Asus,"K556UR-DM621T (i7-7500U/8GB/256GB/GeForce",787,96
Asus,"UX410UA-GV097T (i3-7100U/4GB/256GB/FHD/W10)",769,97
Asus,"Vivobook X541UV-DM1217T",769,97
Asus,"Pro P2540UA-AB51",749,99
Asus,"TP501UA-CJ131T (i5-7200U/8GB/1TB/W10)",739,100
Asus,"ZenBook UX305CA-UBM1",729,101
Asus,"X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce",720.32,102
Asus,"FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon",699,103
Asus,"Chromebook Flip",669,104
Asus,"Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10)",639.01,105
Asus,"X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce",597,106
Asus,"R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10)",590,107
Asus,"VivoBook Max",586.19,108
Asus,"Vivobook Max",581.9,109
Asus,"X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce",579,110
Asus,"X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce",577,111
Asus,"X555QG-DM242T (A10-9620P/4GB/1TB",575,112
Asus,"X705UV-BX074T (i3-6006U/4GB/1TB/GeForce",564,113
Asus,"VivoBook Max",559,114
Asus,"X751SV-TY001T (N3710/4GB/1TB/GeForce",530,115
Asus,"X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce",522.99,116
Asus,"VivoBook Max",519,117
Asus,"VivoBook S14",509,118
Asus,"X751NV-TY001 (N4200/4GB/1TB/GeForce",470.34,119
Asus,"X505BP-BR019T (A9-9420/4GB/1TB/Radeon",469,120
Asus,"X751NV-TY001T (N4200/4GB/1TB/GeForce",466,121
Asus,"X541NA (N4200/4GB/1TB/W10)",449,122
Asus,"VivoBook Max",435,123
Asus,"L502NA-GO052T (N3350/4GB/128GB/W10)",419,124
Asus,"X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux)",415,125
Asus,"X555BP-XX180T (A9-9420/4GB/1TB/Radeon",403,126
Asus,"X541NA-GO414T (N3350/8GB/1TB/W10)",399,127
Asus,"Pro P2540UA-XO0198T",398.99,128
Asus,"X541NA-GO121 (N4200/4GB/1TB/Linux)",398.99,128
Asus,"X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)",389,130
Asus,"VivoBook Flip",375,131
Asus,"X553SA-XX021T (N3050/4GB/500GB/W10)",369,132
Asus,"X553SA-XX031T (N3050/4GB/500GB/W10)",369,132
Asus,"VivoBook X540YA-XX519T",349,134
Asus,"VivoBook L402NA",348,135
Asus,"X541NA (N3350/4GB/1TB/FHD/W10)",344,136
Asus,"VivoBook E201NA",340,137
Asus,"X541NA-GO020T (N3350/4GB/1TB/W10)",339,138
Asus,"X540SA-RBPDN09 (N3710/4GB/1TB/W10)",309,139
Asus,"X541NA-PD1003Y (N4200/4GB/500GB/W10)",304,140
Asus,"R417NA-RS01 (N3350/4GB/32GB/W10)",299,141
Asus,"VivoBook E403NA",298,142
Asus,"Chromebook C202SA",287.9,143
Asus,"VivoBook E403NA",286,144
Asus,"L403NA-GA013TS (N3350/4GB/32GB/W10)",278,145
Asus,"E402WA-GA007T (E2-6110/4GB/64GB/W10",277.99,146
Asus,"VivoBook Flip",275,147
Asus,"X541NA (N3350/4GB/1TB/Linux)",274.99,148
Asus,"VivoBook E12",245,149
Asus,"A541NA-GO342 (N3350/4GB/500GB/Linux)",224,150
Asus,"E402WA-GA010T (E2-6110/2GB/32GB/W10)",199,151
Asus,"Vivobook E200HA",191.9,152
Chuwi,"LapBook 12.3",449,1
Chuwi,"Lapbook 15,6",248.9,2
Chuwi,"LapBook 15.6""",244.99,3
Dell,"Alienware 17",3659.4,1
Dell,"Alienware 17",3588.8,2
Dell,"Alienware 17",3154,3
Dell,"Alienware 17",3149,4
Dell,"Alienware 17",3147.37,5
Dell,"Alienware 17",3072.89,6
Dell,"Precision 7520",3055,7
Dell,"Alienware 17",3012.77,8
Dell,"Precision 7720",2884.86,9
Dell,"Alienware 17",2868.99,10
Dell,"Alienware 15",2813.75,11
Dell,"Alienware 17",2800,12
Dell,"Alienware 17",2799,13
Dell,"Alienware 15",2774.63,14
Dell,"Alienware 17",2758,15
Dell,"Precision M5520",2712,16
Dell,"Alienware 17",2699,17
Dell,"XPS 13",2680,18
Dell,"XPS 15",2639,19
Dell,"Alienware 17",2505.02,20
Dell,"XPS 13",2499,21
Dell,"Alienware 17",2456.34,22
Dell,"Precision M5520",2408,23
Dell,"XPS 15",2399,24
Dell,"XPS 15",2397,25
Dell,"Precision 3520",2338,26
Dell,"XPS 13",2254,27
Dell,"XPS 15",2250.68,28
Dell,"XPS 13",2240,29
Dell,"Precision 5520",2135,30
Dell,"Alienware 15",2051,31
Dell,"Alienware 17",2046,32
Dell,"XPS 15",2027.42,33
Dell,"XPS 13",2013.1,34
Dell,"Precision 3520",1993,35
Dell,"Precision 3520",1975,36
Dell,"Latitude E7470",1962.98,37
Dell,"XPS 13",1949,38
Dell,"XPS 15",1899,39
Dell,"XPS 13",1899,39
Dell,"XPS 13",1899,39
Dell,"XPS 13",1869,42
Dell,"XPS 13",1869,42
Dell,"Latitude 7280",1859,44
Dell,"Inspiron 7577",1845,45
Dell,"Latitude 7390",1841.85,46
Dell,"XPS 15",1829,47
Dell,"XPS 15",1820,48
Dell,"XPS 13",1813,49
Dell,"Inspiron 7779",1799,50
Dell,"Precision 3520",1778,51
Dell,"Latitude 7480",1775,52
Dell,"Precision 3520",1763,53
Dell,"XPS 15",1749,54
Dell,"Latitude E7270",1713.37,55
Dell,"Latitude 7280",1690,56
Dell,"Latitude 7480",1680,57
Dell,"Inspiron 7567",1679,58
Dell,"Latitude 5289",1670,59
Dell,"XPS 13",1649,60
Dell,"XPS 13",1649,60
Dell,"Latitude 7480",1639,62
Dell,"XPS 13",1629,63
Dell,"XPS 13",1624,64
Dell,"Latitude 5590",1607.96,65
Dell,"XPS 13",1599,66
Dell,"XPS 13",1579,67
Dell,"Inspiron 7773",1549,68
Dell,"Latitude 5580",1537.39,69
Dell,"Inspiron 7577",1499,70
Dell,"XPS 13",1499,70
Dell,"Inspiron 7567",1498,72
Dell,"Inspiron 7567",1479,73
Dell,"XPS 13",1477,74
Dell,"Latitude 7280",1472.2,75
Dell,"XPS 13",1458,76
Dell,"XPS 13",1449.9,77
Dell,"XPS 13",1449,78
Dell,"Latitude 7480",1427,79
Dell,"Latitude 5580",1426.66,80
Dell,"Latitude E5270",1413.1,81
Dell,"XPS 13",1399,82
Dell,"XPS 13",1399,82
Dell,"Inspiron 5770",1396,84
Dell,"XPS 13",1379,85
Dell,"XPS 13",1379,85
Dell,"Latitude 5580",1377,87
Dell,"Precision 3510",1369,88
Dell,"Latitude 5580",1369,88
Dell,"Inspiron 7567",1349,90
Dell,"Inspiron 7577",1349,90
Dell,"Alienware 15",1329,92
Dell,"Inspiron 7378",1299,93
Dell,"Inspiron 7579",1299,93
Dell,"Inspiron 5770",1299,93
Dell,"Latitude 5590",1298,96
Dell,"Inspiron 5579",1285,97
Dell,"Latitude 5480",1279.73,98
Dell,"Inspiron 5379",1279,99
Dell,"XPS 13",1268,100
Dell,"Inspiron 7570",1262,101
Dell,"Inspiron 5577",1249.26,102
Dell,"Latitude E7470",1229,103
Dell,"Inspiron 5570",1219.24,104
Dell,"Inspiron 7560",1207,105
Dell,"Latitude 5480",1205,106
Dell,"Inspiron 7378",1199,107
Dell,"Inspiron 7567",1199,107
Dell,"Inspiron 7577",1195,109
Dell,"Inspiron 5567",1181.27,110
Dell,"Latitude 5480",1179,111
Dell,"Latitude 5580",1179,111
Dell,"Inspiron 5578",1179,111
Dell,"Latitude E5270",1166.97,114
Dell,"Inspiron 7577",1159,115
Dell,"Latitude 5490",1149,116
Dell,"Inspiron 7570",1142.75,117
Dell,"Inspiron 5570",1142.4,118
Dell,"Inspiron 5770",1142,119
Dell,"Latitude E5270",1135.15,120
Dell,"Inspiron 5570",1135,121
Dell,"Inspiron 7570",1130.33,122
Dell,"Latitude 5480",1126.71,123
Dell,"Latitude 5480",1119,124
Dell,"Latitude 5580",1116.99,125
Dell,"XPS 13",1099,126
Dell,"Inspiron 5770",1099,126
Dell,"Inspiron 7559",1099,126
Dell,"Inspiron 7567",1099,126
Dell,"Latitude 5480",1099,126
Dell,"Latitude 5590",1096.16,131
Dell,"Inspiron 5578",1094,132
Dell,"Latitude 5480",1089,133
Dell,"Inspiron 5770",1085,134
Dell,"Inspiron 5770",1085,134
Dell,"Latitude E5570",1062.95,136
Dell,"Inspiron 5577",1060.49,137
Dell,"Inspiron 7570",1049,138
Dell,"Inspiron 5579",1049,138
Dell,"Inspiron 5570",1049,138
Dell,"Latitude E5570",1046.44,141
Dell,"Vostro 5568",1009.9,142
Dell,"Latitude 5580",1008.52,143
Dell,"Inspiron 7577",999,144
Dell,"Inspiron 7773",999,144
Dell,"Inspiron 7579",999,144
Dell,"Inspiron 5567",989.99,147
Dell,"Inspiron 5570",985,148
Dell,"Inspiron 7567",985,148
Dell,"Inspiron 5570",979,150
Dell,"Inspiron 5770",979,150
Dell,"XPS 13",979,150
Dell,"Inspiron 5570",970.9,153
Dell,"Vostro 5568",961,154
Dell,"Latitude 5580",959,155
Dell,"Inspiron 5370",955,156
Dell,"Latitude 3580",955,156
Dell,"Vostro 5370",949,158
Dell,"Inspiron 7567",949,158
Dell,"Latitude 5580",945,160
Dell,"Latitude 5580",935,161
Dell,"Inspiron 5370",931.88,162
Dell,"Inspiron 7567",929,163
Dell,"Inspiron 5570",919,164
Dell,"Vostro 5568",912.5,165
Dell,"Inspiron 5567",899,166
Dell,"Inspiron 5567",899,166
Dell,"Inspiron 7567",899,166
Dell,"XPS 13",899,166
Dell,"Vostro 5568",895.01,170
Dell,"Inspiron 5770",889,171
Dell,"Inspiron 5567",889,171
Dell,"Inspiron 5378",889,171
Dell,"Inspiron 7559",879.01,174
Dell,"Vostro 5471",879,175
Dell,"Inspiron 5577",879,175
Dell,"Latitude 5480",875,177
Dell,"Inspiron 5570",870,178
Dell,"Inspiron 5379",869.01,179
Dell,"Latitude 5580",869,180
Dell,"Inspiron 5767",865,181
Dell,"Inspiron 5567",859.01,182
Dell,"Vostro 5468",859,183
Dell,"Inspiron 5570",855,184
Dell,"Latitude 3380",849,185
Dell,"Inspiron 5570",844,186
Dell,"Inspiron 5379",839,187
Dell,"Vostro 5568",836,188
Dell,"Latitude 5580",825,189
Dell,"Inspiron 5579",819,190
Dell,"Inspiron 5379",819,190
Dell,"Inspiron 5577",819,190
Dell,"Inspiron 5370",818.35,193
Dell,"Latitude 3580",810,194
Dell,"Inspiron 3567",805.99,195
Dell,"Inspiron 5570",800,196
Dell,"Inspiron 5579",799,197
Dell,"Inspiron 5368",798.01,198
Dell,"Inspiron 5570",797.41,199
Dell,"Inspiron 5568",795.99,200
Dell,"Vostro 5568",795,201
Dell,"Vostro 3568",789.81,202
Dell,"Inspiron 5567",784,203
Dell,"Inspiron 5567",778.87,204
Dell,"Inspiron 5570",776,205
Dell,"Vostro 3559",769.15,206
Dell,"Inspiron 3576",767.8,207
Dell,"Inspiron 5570",759,208
Dell,"Latitude 3480",755,209
Dell,"Vostro 3568",750,210
Dell,"Inspiron 3567",749.01,211
Dell,"Inspiron 5570",749,212
Dell,"Inspiron 5567",749,212
Dell,"Inspiron 3567",745,214
Dell,"Latitude 3180",744,215
Dell,"Latitude E5470",740,216
Dell,"Vostro 3568",739,217
Dell,"Vostro 5568",739,217
Dell,"Vostro 3559",737,219
Dell,"Vostro 5468",735.87,220
Dell,"Inspiron 3576",735.07,221
Dell,"Latitude 3580",729.9,222
Dell,"Inspiron 3576",728,223
Dell,"Vostro 5568",726,224
Dell,"Inspiron 5570",719,225
Dell,"Vostro 3568",713.99,226
Dell,"Inspiron 5567",713.07,227
Dell,"Vostro 3568",708.06,228
Dell,"Latitude 3380",689,229
Dell,"Vostro 3568",684.99,230
Dell,"Inspiron 3576",677.35,231
Dell,"Inspiron 3576",675,232
Dell,"Vostro 3568",665,233
Dell,"Inspiron 5570",663,234
Dell,"Insprion 5767",659,235
Dell,"Inspiron 5379",659,235
Dell,"Vostro 3568",657,237
Dell,"Inspiron 5378",649,238
Dell,"Inspiron 3567",649,238
Dell,"Inspiron 5368",649,238
Dell,"Inspiron 3576",647,241
Dell,"Inspiron 3567",639,242
Dell,"Inspiron 5567",638.99,243
Dell,"Inspiron 5567",638.8,244
Dell,"Vostro 3568",617.9,245
Dell,"Vostro 3568",614,246
Dell,"Inspiron 3179",603,247
Dell,"Inspiron 3567",599.9,248
Dell,"Inspiron 3567",599,249
Dell,"Inspiron 3567",598.9,250
Dell,"Inspiron 5567",589.52,251
Dell,"Vostro 3568",586.6,252
Dell,"Inspiron 3567",585,253
Dell,"Latitude 3480",585,253
Dell,"Vostro 3568",569,255
Dell,"Inspiron 3567",565,256
Dell,"Inspiron 3567",559,257
Dell,"Vostro 3568",558.6,258
Dell,"Inspiron 3567",557.37,259
Dell,"Vostro 3568",547,260
Dell,"Inspiron 3567",545.67,261
Dell,"Inspiron 3567",539.95,262
Dell,"Latitude E5570",523.63,263
Dell,"Vostro 3568",521.86,264
Dell,"Inspiron 5578",509,265
Dell,"Inspiron 5567",499,266
Dell,"Inspiron 3567",498.9,267
Dell,"Vostro 3568",490,268
Dell,"Inspiron 3567",485,269
Dell,"Latitude 3570",481.98,270
Dell,"Inspiron 3168",479,271
Dell,"Inspiron 3567",469.01,272
Dell,"Inspiron 3567",465.62,273
Dell,"Vostro 3568",465,274
Dell,"Inspiron 3567",459,275
Dell,"Inspiron 3567",459,275
Dell,"Vostro 3568",455.7,277
Dell,"Inspiron 3567",449,278
Dell,"Inspiron 3552",443.99,279
Dell,"Vostro 3568",443.9,280
Dell,"Inspiron 3567",439,281
Dell,"Inspiron 3567",428,282
Dell,"Inspiron 3567",418.64,283
Dell,"Inspiron 3552",393.49,284
Dell,"Inspiron 3552",379,285
Dell,"Inspiron 3552",369,286
Dell,"Inspiron 3567",359,287
Dell,"Inspiron 3552",324,288
Dell,"Inspiron 3552",309,289
Dell,"Chromebook 11",295,290
Dell,"Inspiron 3552",274.9,291
Fujitsu,"LifeBook A557",799,1
Fujitsu,"Lifebook A557",739,2
Fujitsu,"LifeBook A556",649,3
Google,"Pixelbook (Core",2199,1
Google,"Pixelbook (Core",1559,2
Google,"Pixelbook (Core",1275,3
HP,"Zbook 17",4389,1
HP,"ZBook 17",3949.4,2
HP,"Elitebook Folio",3100,3
HP,"ZBook 17",2899,4
HP,"EliteBook x360",2559,5
HP,"Spectre x360",2449,6
HP,"ZBook 15",2419,7
HP,"EliteBook 820",2296.95,8
HP,"EliteBook x360",2277,9
HP,"ZBook Studio",2249,10
HP,"ZBook 15",2229,11
HP,"EliteBook 1040",2229,11
HP,"EliteBook 840",2198.19,13
HP,"EliteBook 850",2171.72,14
HP,"EliteBook 850",2103.34,15
HP,"EliteBook 840",2089,16
HP,"ZBook 17",2064.9,17
HP,"Spectre x360",2049,18
HP,"Spectre Pro",2041,19
HP,"EliteBook Folio",2014,20
HP,"Omen 17-w207nv",1999,21
HP,"Spectre x360",1999,21
HP,"EliteBook x360",1975,23
HP,"Spectre Pro",1969,24
HP,"EliteBook 1030",1965,25
HP,"EliteBook Folio",1908,26
HP,"ZBook 17",1907.99,27
HP,"EliteBook 850",1900,28
HP,"ZBook Studio",1899,29
HP,"EliteBook 820",1895,30
HP,"EliteBook 840",1887.21,31
HP,"EliteBook 840",1870,32
HP,"ZBook 17",1860.99,33
HP,"EliteBook x360",1799,34
HP,"Omen 15-ce006nv",1799,34
HP,"Spectre Pro",1799,34
HP,"Elitebook 1040",1750,37
HP,"EliteBook 840",1749,38
HP,"Omen 17-an012dx",1749,38
HP,"Zbook 15",1738.27,40
HP,"EliteBook x360",1700,41
HP,"EliteBook 1030",1699,42
HP,"Omen 17-an006nv",1699,42
HP,"Spectre Pro",1690,44
HP,"EliteBook 820",1669,45
HP,"Spectre Pro",1629,46
HP,"Elitebook 820",1599,47
HP,"Elitebook 840",1590,48
HP,"EliteBook 820",1579,49
HP,"EliteBook 850",1579,49
HP,"ZBook 15",1561,51
HP,"Elitebook 820",1559,52
HP,"EliteBook 820",1539,53
HP,"ProBook 650",1534,54
HP,"EliteBook 1040",1513,55
HP,"EliteBook 1040",1500,56
HP,"Spectre x360",1499,57
HP,"Omen 17-AN010nv",1498,58
HP,"ZBook 15u",1495,59
HP,"Elitebook 820",1483,60
HP,"EliteBook 1040",1469,61
HP,"EliteBook 840",1468,62
HP,"EliteBook 1040",1449,63
HP,"ProBook 650",1427,64
HP,"Omen 17-W006na",1399,65
HP,"Spectre X360",1399,65
HP,"Envy x360",1399,65
HP,"Spectre x360",1398.99,68
HP,"EliteBook 850",1389,69
HP,"EliteBook 820",1389,69
HP,"Omen 17-W295",1379,71
HP,"Spectre 13-V111dx",1349,72
HP,"EliteBook 820",1349,72
HP,"EliteBook 850",1349,72
HP,"Elitebook 820",1335,75
HP,"Pavilion Power",1327,76
HP,"Envy 13-AB002nv",1323,77
HP,"Elitebook 850",1304,78
HP,"EliteBook 850",1296.99,79
HP,"Elitebook 840",1292,80
HP,"ProBook 470",1280,81
HP,"Probook 470",1271,82
HP,"ZBook 15u",1269,83
HP,"EliteBook 840",1268,84
HP,"Probook 640",1265,85
HP,"Omen 15-ce007nv",1249,86
HP,"EliteBook 820",1244,87
HP,"EliteBook 850",1228.99,88
HP,"EliteBook 850",1219,89
HP,"ProBook 640",1205,90
HP,"ProBook 470",1200,91
HP,"EliteBook 820",1199,92
HP,"ProBook 650",1199,92
HP,"Probook 430",1197,94
HP,"Probook 640",1195,95
HP,"Omen 17-w212nv",1191,96
HP,"ProBook 650",1189,97
HP,"ENVY -",1189,97
HP,"ProBook 440",1185.43,99
HP,"Probook 650",1165,100
HP,"ProBook 450",1159,101
HP,"ZBook 15u",1154,102
HP,"ProBook 640",1149,103
HP,"Spectre 13-V100nv",1149,103
HP,"Envy 13-AB077cl",1149,103
HP,"Envy 13-AB020nr",1145,106
HP,"Elitebook 850",1144,107
HP,"Omen -",1129,108
HP,"ProBook 650",1124,109
